iter	Passed	Remaining
0	478	238985
1	834	207810
2	1161	192408
3	1487	184460
4	1795	177801
5	2088	171967
6	2382	167822
7	2711	166779
8	3074	167712
9	3390	166146
10	3710	164930
11	4061	165163
12	4369	163678
13	4711	163555
14	5028	162592
15	5359	162119
16	5656	160718
17	5915	158397
18	6240	157986
19	6518	156455
20	6802	155172
21	7115	154607
22	7375	152960
23	7730	153313
24	8043	152831
25	8359	152391
26	8673	151940
27	8960	151050
28	9246	150169
29	9568	149905
30	9829	148705
31	10135	148228
32	10428	147585
33	10739	147200
34	11048	146789
35	11358	146402
36	11682	146192
37	12007	145981
38	12337	145836
39	12652	145507
40	12957	145065
41	13215	144107
42	13532	143821
43	13858	143629
44	14179	143373
45	14493	143043
46	14825	142891
47	15114	142325
48	15439	142108
49	15712	141413
50	16222	142825
51	16564	142710
52	16832	141967
53	17145	141609
54	17454	141222
55	17781	140979
56	18044	140237
57	18338	139754
58	18645	139365
59	19008	139397
60	19305	138935
61	19603	138489
62	19929	138238
63	20259	138017
64	20546	137504
65	20796	136754
66	21102	136379
67	21406	135997
68	21738	135789
69	22028	135320
70	22346	135022
71	22666	134737
72	22974	134382
73	23295	134106
74	23625	133878
75	23931	133509
76	24253	133235
77	24583	133002
78	24918	132794
79	25251	132570
80	25555	132193
81	25882	131939
82	26170	131485
83	26498	131229
84	26813	130913
85	27141	130657
86	27464	130377
87	27752	129932
88	28037	129476
89	28322	129022
90	28617	128622
91	28855	127966
92	29164	127634
93	29461	127249
94	29788	126992
95	30082	126599
96	30384	126237
97	30683	125866
98	30979	125480
99	31308	125235
100	31638	124986
101	31956	124691
102	32253	124317
103	32561	123984
104	32855	123599
105	33144	123199
106	33468	122924
107	33767	122564
108	34078	122245
109	34376	121878
110	34694	121587
111	35004	121264
112	35318	120959
113	35613	120586
114	35709	119548
115	36034	119286
116	36358	119018
117	36664	118692
118	36992	118439
119	37262	117999
120	37580	117710
121	37894	117411
122	38179	117022
123	38488	116706
124	38778	116336
125	39095	116044
126	39428	115801
127	39736	115483
128	40036	115144
129	40342	114821
130	40667	114551
131	40979	114245
132	41315	114006
133	41627	113698
134	41959	113445
135	42230	113029
136	42546	112731
137	42685	111971
138	43013	111710
139	43307	111362
140	43608	111030
141	43934	110764
142	44264	110505
143	44593	110245
144	44892	109910
145	45211	109621
146	45523	109318
147	45819	108975
148	46133	108676
149	46444	108369
150	46737	108022
151	47006	107620
152	47332	107348
153	47662	107086
154	47997	106834
155	48301	106511
156	48594	106164
157	48900	105848
158	49190	105497
159	49505	105198
160	49793	104843
161	50104	104538
162	50390	104180
163	50719	103912
164	51042	103631
165	51354	103328
166	51661	103013
167	52006	102775
168	52331	102495
169	52457	101829
170	52780	101547
171	53080	101223
172	53402	100940
173	53729	100665
174	54052	100383
175	54330	100017
176	54602	99641
177	54890	99295
178	55214	99015
179	55507	98680
180	55803	98348
181	56075	97977
182	56343	97600
183	56624	97246
184	56966	96996
185	57251	96650
186	57553	96332
187	57838	95987
188	58115	95629
189	58445	95358
190	58768	95075
191	59069	94756
192	59369	94437
193	59458	93785
194	59708	93390
195	60026	93102
196	60300	92745
197	60574	92391
198	60897	92111
199	61188	91782
200	61480	91455
201	61798	91168
202	62098	90853
203	62382	90515
204	62681	90200
205	62989	89897
206	63213	89475
207	63543	89205
208	63845	88894
209	64142	88578
210	64452	88278
211	64716	87916
212	65033	87627
213	65346	87331
