feature,importance
treatment_action,53.35397828983915
error_reason,10.691434543662652
customer_segment,6.641625919346777
opt_out_notification,6.078606915537892
recovery_attempt_count,5.1775810416016546
notification_sent,4.3118611906477335
previous_failed_attempts,3.2218743752710703
risk_score,3.21897453083428
hour_of_day,2.248301212723656
amount,2.213128583229839
time_since_last_failure_hr,0.9758913169446377
amount_bucket,0.9748219114384068
account_balance,0.12499312315874703
payment_method,0.1068527224842476
customer_tenure_months,0.10275122981611057
device_type,0.09082040021797098
card_type,0.07918082000678972
bank,0.07667233794138116
customer_age,0.07648096440384794
channel,0.058438750763241995
region,0.05108133697441731
retry_count,0.049132722857557015
transaction_frequency_30d,0.036454657798968955
day_of_week,0.0318702225643986
is_weekend,0.005324573218563324
merchant_category,0.0018663067159709287
